ano,municipio,nome_municipio,populacao,fonte,metodo,obitos_causa_basica_cerebrovascular,taxa_100mil
2010,330390,Petrópolis,295917,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,272,91.91766610231923
2010,330395,Pinheiral,22719,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,13,57.22082838153088
2010,330400,Piraí,26314,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,15,57.00387626358592
2010,330410,Porciúncula,17760,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,11,61.93693693693693
2010,330411,Porto Real,16592,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,8,48.216007714561236
2010,330412,Quatis,12793,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,6,46.900648792308296
2010,330414,Queimados,137962,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,74,53.63795827836651
2010,330415,Quissamã,20242,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,12,59.28267957711689
2010,330420,Resende,119769,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,71,59.28078217234844
2010,330430,Rio Bonito,55551,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,31,55.804575975229966
2010,330440,Rio Claro,17425,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,7,40.17216642754663
2010,330450,Rio das Flores,8561,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,5,58.404392010279174
2010,330452,Rio das Ostras,105676,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,49,46.368144138688066
2010,330455,Rio de Janeiro,6320446,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,4383,69.3463720756415
2010,330460,Santa Maria Madalena,10321,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,5,48.44491812808836
2010,330470,Santo Antônio de Pádua,40589,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,35,86.2302594298948
2010,330475,São Francisco de Itabapoana,41354,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,28,67.7080814431494
2010,330480,São Fidélis,37543,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,37,98.55365847161922
2010,330490,São Gonçalo,999728,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,611,61.11662372165229
2010,330500,São João da Barra,32747,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,19,58.02058203804929
2010,330510,São João de Meriti,458673,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,279,60.827648455435565
2010,330513,São José de Ubá,7003,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,7,99.95716121662146
2010,330515,São José do Vale do Rio Preto,20251,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,9,44.44224976544368
2010,330520,São Pedro da Aldeia,87875,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,32,36.41536273115221
2010,330530,São Sebastião do Alto,8895,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,6,67.45362563237774
2010,330540,Sapucaia,17525,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,13,74.17974322396577
